EmployeeNumber;StandardHours;Typeofcontract;Age;Gender;MaritalStatus;Education;EducationField;BusinessTravel;DistanceFromHome;Department;JobLevel;JobRole;Salaryineuros;PensionPlan;OverTime;PerformanceRating;PercentageSalaryincrease;TalentStatus;Sicknessdays;NumCompaniesWorked;TotalWorkingYears;TrainingTimes;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;YearsInCurrentRoleCat;RecruitmentCosts;EnvironmentSatisfaction;ManagerSatisfaction;JobInvolvement;JobSatisfaction;JobSatisfactionCont;Flightrisklikelihoodin2021;Leftthecompanyin2022;OverTimeVal;PensionPlanVal;TalentStatusVal;JobRoleVal;BusinessTravelVal;EducationFieldVal;MaritalStatusVal;GenderVal;TypeOfContractVal;DepartmentValt;EducationVal
EMPLID4231852;40;Permanent;29;Male;Married;High school diploma;Business Administration;Travel_Frequently;20;Local Branch;1;Call center agent;45744;Yes;No;1;13;Contributor A;9;1;11;3;4;11;6;3;10; ;1830;4;2;3;3;59;34;0;0;1;1;2;3;5;1;2;1;3;4
EMPLID4231853;40;Permanent;32;Male;Single;MsC;Marketing & Sales;Travel_Frequently;10;Local Branch;2;Branch Representative;55776;Yes;No;2;13;Contributor A;4;8;7;2;4;3;2;0;0; ;2231;4;3;3;4;76;7;0;0;1;1;1;3;3;3;2;1;3;1
EMPLID4231854;40;Permanent;42;Male;Married;MsC;IT & Operations;Non-Travel;10;Local Branch;1;Financial Advisor;35232;Yes;No;4;22;Rising Star;5;3;21;1;2;17;16;3;3; ;0;3;2;3;2;39;48;0;0;1;4;5;2;4;1;2;1;3;1
EMPLID4231856;40;Permanent;47;Female;Single;MsC;Finance & Economics;Travel_Rarely;9;Local Branch;1;Call center agent;25260;Yes;No;2;12;Contributor A;6;4;10;2;3;5;4;2;0; ;1010;2;3;3;2;25;32;0;0;1;1;2;1;1;3;1;1;3;1
EMPLID4231857;40;Permanent;46;Male;Divorced;Associate's degree;Finance & Economics;Travel_Rarely;2;Head office;3;Marketeer;102936;Yes;No;1;14;Contributor B;8;3;12;4;2;9;3;4;7; ;8235;4;3;3;4;97;10;0;0;1;3;3;1;1;2;2;1;2;3
EMPLID4231858;40;Permanent;28;Male;Divorced;Associate's degree;Finance & Economics;Non-Travel;1;Head office;1;Human Resources;32472;Yes;No;1;15;Contributor B;5;1;3;2;3;3;2;2;2; ;0;3;2;3;2;50;40;0;0;1;3;9;2;1;2;2;1;2;3
EMPLID4231859;40;Permanent;29;Male;Divorced;High school diploma;IT & Operations;Travel_Rarely;29;Head office;2;IT developer;76608;Yes;No;1;17;Rising Star;8;8;22;3;3;18;17;1;6; ;3830;4;4;1;2;43;39;0;0;1;4;4;1;4;2;2;1;2;4
EMPLID4231860;40;Permanent;42;Male;Single;BsC;Finance & Economics;Travel_Rarely;8;Local Branch;1;Call center agent;47616;Yes;No;3;13;Contributor A;9;4;10;3;3;2;1;0;0; ;952;4;4;3;4;77;17;0;0;1;1;2;1;1;3;2;1;3;2
EMPLID4231862;40;Permanent;32;Male;Single;MsC;Marketing & Sales;Travel_Rarely;2;Local Branch;2;Branch Representative;118884;Yes;Yes;1;12;Contributor A;10;7;22;3;2;17;16;2;2; ;9511;3;3;2;1;16;54;1;1;1;1;1;1;3;3;2;1;3;1
EMPLID4231863;40;Permanent;46;Female;Divorced;BsC;IT & Operations;Travel_Rarely;3;Local Branch;4;Branch Representative;158700;Yes;No;2;12;Contributor B;8;2;25;5;3;19;5;2;8; ;20631;1;4;4;4;97;26;0;0;1;3;1;1;4;2;1;1;3;2
EMPLID4231864;40;Permanent;27;Female;Married;High school diploma;Business Administration;Travel_Rarely;23;Head office;2;Office Support function;42480;Yes;No;4;21;Contributor B;3;1;9;5;3;9;4;5;8; ;2974;2;4;2;3;54;5;0;0;1;3;6;1;5;1;1;1;2;4
EMPLID4231865;40;Permanent;29;Male;Married;High school diploma;Business Administration;Travel_Rarely;6;Head office;1;Human Resources;33648;Yes;No;3;11;Contributor A;10;1;12;3;3;12;11;0;0; ;336;4;4;2;3;58;43;0;0;1;1;9;1;5;1;2;1;2;4
EMPLID4231866;40;Permanent;43;Female;Married;BsC;Business Administration;Travel_Rarely;6;Management;5;Team Manager;232704;Yes;No;1;13;Contributor A;7;7;21;2;3;16;1;6;14; ;46541;1;4;2;4;75;40;0;0;1;1;8;1;5;1;1;1;1;2
EMPLID4231867;40;Permanent;48;Male;Married;BsC;Finance & Economics;Travel_Rarely;10;Management;5;Branch Manager;235980;Yes;No;3;12;Contributor A;6;4;29;3;3;22;1;12;9; ;37757;4;4;2;3;59;50;0;0;1;1;7;1;1;1;2;1;1;2
EMPLID4231868;40;Permanent;29;Male;Single;Associate's degree;Finance & Economics;Travel_Frequently;24;Local Branch;1;Financial Advisor;29268;Yes;Yes;4;24;Contributor A;8;1;17;3;2;17;16;1;0; ;585;4;2;2;1;5;60;1;1;1;1;5;3;1;3;2;1;3;3
EMPLID4231869;40;Permanent;46;Female;Married;BsC;Finance & Economics;Travel_Rarely;10;Local Branch;3;Branch Representative;87768;Yes;No;4;21;Key Talent;6;5;18;2;3;12;11;0;7; ;9654;3;3;3;1;15;92;1;0;1;2;1;1;1;1;1;1;3;2
EMPLID4231870;40;Permanent;27;Female;Married;BsC;Finance & Economics;Travel_Frequently;15;Local Branch;1;Financial Advisor;57288;Yes;No;3;19;Contributor B;5;0;8;2;2;7;2;7;3; ;573;4;4;2;3;55;46;0;0;1;3;5;3;1;1;1;1;3;2
EMPLID4231871;40;Permanent;39;Male;Divorced;MsC;Other;Travel_Rarely;19;Local Branch;2;Financial Advisor;46824;Yes;No;1;14;Key Talent;8;8;14;2;3;9;8;2;2; ;1873;4;2;3;3;53;17;0;0;1;2;5;1;2;2;2;1;3;1
EMPLID4231873;40;Permanent;55;Male;Married;MsC;IT & Operations;Travel_Rarely;2;Local Branch;1;Financial Advisor;31944;Yes;No;4;20;Contributor B;5;8;29;2;4;15;14;0;4; ;639;2;2;2;3;70;30;0;0;1;3;5;1;4;1;2;1;3;1
EMPLID4231875;40;Permanent;28;Female;Married;BsC;Business Administration;Travel_Rarely;3;Head office;1;Office Support function;34272;Yes;No;2;19;Contributor B;7;1;10;3;3;10;9;0;0; ;1371;2;4;3;4;87;8;0;0;1;3;6;1;5;1;1;1;2;2
EMPLID4231876;40;Permanent;30;Male;Single;BsC;Business Administration;Travel_Rarely;9;Head office;1;Office Support function;12972;Yes;No;2;13;Contributor A;6;1;14;3;2;14;13;0;0; ;389;2;3;3;1;17;93;1;0;1;1;6;1;5;3;2;1;2;2
EMPLID4231878;40;Permanent;22;Male;Single;High school diploma;Finance & Economics;Travel_Rarely;7;Local Branch;1;Financial Advisor;29664;Yes;Yes;4;23;Contributor A;4;1;5;2;3;5;4;0;0; ;1187;4;1;3;2;34;76;1;1;1;1;5;1;1;3;2;1;3;4
EMPLID4231880;40;Permanent;36;Female;Married;MsC;IT & Operations;Travel_Rarely;10;Local Branch;2;Branch Representative;68076;Yes;Yes;2;13;Contributor B;6;1;10;4;3;10;9;1;7; ;4765;2;1;2;4;83;8;0;1;1;3;1;1;4;1;1;1;3;1
EMPLID4231881;40;Permanent;31;Male;Divorced;BsC;Finance & Economics;Travel_Rarely;20;Local Branch;2;Call center agent;50364;Yes;No;3;11;Contributor B;7;1;10;2;3;10;6;0;2; ;3525;2;1;3;3;69;19;0;0;1;3;2;1;1;2;2;1;3;2
EMPLID4231882;40;Permanent;34;Male;Married;BsC;Finance & Economics;Travel_Rarely;4;Local Branch;3;Branch Representative;116556;Yes;Yes;1;13;Key Talent;9;2;18;3;3;14;13;1;0; ;13987;3;4;3;3;72;41;0;1;1;2;1;1;1;1;2;1;3;2
EMPLID4231883;40;Permanent;29;Male;Single;BsC;Finance & Economics;Travel_Rarely;7;Local Branch;1;Call center agent;24744;Yes;No;2;14;Contributor A;3;3;13;2;3;5;4;1;2; ;495;4;2;3;4;93;38;0;0;1;1;2;1;1;3;2;1;3;2
EMPLID4231885;40;Permanent;37;Male;Married;MsC;Business Administration;Travel_Rarely;7;Local Branch;2;Financial Advisor;51408;Yes;Yes;4;22;Contributor B;7;5;16;2;3;5;3;0;4; ;2056;4;3;3;3;51;37;0;1;1;3;5;1;5;1;2;1;3;1
EMPLID4231886;40;Permanent;35;Female;Married;Associate's degree;Other;Travel_Rarely;16;Head office;2;Marketeer;57456;Yes;Yes;2;11;Contributor A;8;0;10;2;3;9;8;0;2; ;4022;4;4;2;4;87;42;0;1;1;1;3;1;2;1;1;1;2;3
EMPLID4231888;40;Permanent;45;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;25;Head office;2;Marketeer;70872;Yes;No;3;13;Rising Star;8;0;17;2;2;16;15;3;8; ;6378;2;4;2;2;45;6;0;0;1;4;3;1;1;1;1;1;2;3
EMPLID4231890;40;Permanent;36;Male;Single;High school diploma;Human Resources;Travel_Frequently;2;Head office;2;Human Resources;46632;Yes;No;4;21;Contributor A;8;1;10;2;2;10;4;0;8; ;3731;2;4;2;4;80;29;0;0;1;1;9;3;9;3;2;1;2;4
EMPLID4231892;40;Permanent;40;Male;Divorced;MsC;Finance & Economics;Travel_Rarely;1;Management;4;Team Manager;201876;Yes;No;2;11;Contributor B;7;2;22;3;3;19;6;11;16; ;30281;1;1;3;2;27;26;0;0;1;3;8;1;1;2;2;1;1;1
EMPLID4231893;40;Permanent;26;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;1;Local Branch;1;Financial Advisor;35196;Yes;Yes;1;13;Contributor B;3;1;8;3;2;8;7;1;0; ;704;2;3;2;3;70;29;0;1;1;3;5;1;1;1;1;1;3;3
EMPLID4231898;40;Permanent;27;Female;Single;Associate's degree;Business Administration;Travel_Rarely;2;Local Branch;2;Branch Representative;78000;Yes;No;2;14;Contributor A;2;0;18;5;2;17;16;0;7; ;5460;1;2;4;4;93;36;0;0;1;1;1;1;5;3;1;1;3;3
EMPLID4231900;40;Permanent;48;Female;Divorced;BsC;Business Administration;Travel_Frequently;22;Management;4;Team Manager;206088;Yes;No;3;11;Contributor B;8;3;24;3;3;22;6;4;7; ;30913;4;2;3;2;48;17;0;0;1;3;8;3;5;2;1;1;1;2
EMPLID4231903;40;Permanent;44;Male;Married;MsC;Finance & Economics;Travel_Rarely;1;Head office;2;IT developer;60396;Yes;No;3;15;Contributor B;10;2;18;5;3;10;9;2;2; ;4228;2;4;4;4;97;14;0;0;1;3;4;1;1;1;2;1;2;1
EMPLID4231905;40;Permanent;34;Male;Married;MsC;IT & Operations;Non-Travel;16;Local Branch;1;Financial Advisor;27684;Yes;Yes;4;23;Contributor B;5;1;5;2;3;5;1;3;0; ;831;4;2;1;1;18;67;1;1;1;3;5;2;4;1;2;1;3;1
EMPLID4231907;40;Permanent;56;Male;Single;Associate's degree;Finance & Economics;Travel_Rarely;24;Local Branch;1;Call center agent;31044;Yes;No;1;16;Contributor A;5;1;5;3;3;4;2;1;0; ;0;1;4;3;2;31;77;1;0;1;1;2;1;1;3;2;1;3;3
EMPLID4231908;40;Permanent;36;Male;Married;Associate's degree;Marketing & Sales;Travel_Rarely;17;Local Branch;2;Branch Representative;66084;Yes;No;3;16;Rising Star;7;2;17;1;1;9;8;1;3; ;2643;3;3;2;4;84;30;0;0;1;4;1;1;3;1;2;1;3;3
EMPLID4231909;40;Permanent;41;Female;Married;BsC;Marketing & Sales;Travel_Rarely;8;Local Branch;2;Branch Representative;52716;Yes;No;4;21;Contributor B;4;5;14;3;3;5;1;1;4; ;3690;3;3;3;1;18;12;0;0;1;3;1;1;3;1;1;1;3;2
EMPLID4231911;40;Permanent;42;Male;Married;BsC;Business Administration;Travel_Rarely;6;Management;3;Branch Manager;160176;Yes;No;2;13;Contributor B;5;9;18;3;4;13;6;5;7; ;14416;3;2;3;3;57;19;0;0;1;3;7;1;5;1;2;1;1;2
EMPLID4231912;40;Permanent;31;Female;Divorced;Associate's degree;Business Administration;Travel_Rarely;10;Local Branch;2;Branch Representative;78996;Yes;Yes;2;11;Contributor B;7;2;14;2;3;11;10;1;4; ;3950;3;4;3;4;92;35;0;1;1;3;1;1;5;2;1;1;3;3
EMPLID4231915;40;Permanent;34;Female;Married;High school diploma;Business Administration;Travel_Rarely;3;Local Branch;2;Branch Representative;97236;Yes;Yes;1;12;Contributor A;5;3;19;3;2;14;13;0;1; ;3889;4;3;2;4;84;16;0;1;1;1;1;1;5;1;1;1;3;4
EMPLID4231916;40;Permanent;31;Female;Divorced;BsC;Business Administration;Travel_Rarely;4;Local Branch;1;Call center agent;47736;Yes;No;1;12;Contributor B;5;8;12;0;2;10;9;2;2; ;1432;1;2;4;4;99;35;0;0;1;3;2;1;5;2;1;1;3;2
EMPLID4231918;40;Permanent;26;Male;Married;BsC;Other;Travel_Frequently;6;Local Branch;1;Call center agent;30528;Yes;No;2;18;Contributor B;4;0;8;3;3;7;3;7;7; ;611;3;1;4;3;72;46;0;0;1;3;2;3;2;1;2;1;3;2
EMPLID4231922;40;Permanent;45;Male;Single;MsC;Business Administration;Travel_Frequently;1;Head office;2;IT developer;64788;Yes;No;3;12;Contributor A;10;4;15;3;3;7;6;0;3; ;5831;2;3;3;1;20;36;0;0;1;1;4;3;5;3;2;1;2;1
EMPLID4231924;40;Permanent;33;Male;Single;MsC;Marketing & Sales;Travel_Rarely;10;Local Branch;2;Branch Representative;65844;Yes;No;3;14;Contributor A;5;1;13;2;2;13;12;0;9; ;4609;2;2;3;4;89;25;0;0;1;1;1;1;3;3;2;1;3;1
EMPLID4231927;40;Permanent;28;Male;Married;Associate's degree;Finance & Economics;Travel_Frequently;1;Local Branch;2;Branch Representative;82008;Yes;Yes;3;12;Contributor B;9;1;18;2;3;18;17;0;7; ;4100;3;3;2;3;65;46;0;1;1;3;1;3;1;1;2;1;3;3
EMPLID4231928;40;Permanent;29;Male;Single;BsC;IT & Operations;Travel_Frequently;24;Head office;1;Office Support function;13092;Yes;No;3;17;Contributor A;4;1;12;3;3;12;11;0;0; ;262;3;4;4;1;4;84;1;0;1;1;6;3;4;3;2;1;2;2
EMPLID4231929;40;Permanent;39;Female;Married;MsC;Finance & Economics;Non-Travel;21;Local Branch;2;Branch Representative;68832;Yes;No;2;19;Contributor B;5;6;18;1;3;11;10;1;2; ;2753;1;3;1;3;67;46;0;0;1;3;1;2;1;1;1;1;3;1
EMPLID4231931;40;Permanent;27;Male;Married;MsC;IT & Operations;Travel_Rarely;2;Local Branch;1;Financial Advisor;26712;Yes;No;3;11;Contributor B;9;1;6;3;2;5;2;1;2; ;1068;2;3;3;3;51;3;0;0;1;3;5;1;4;1;2;1;3;1
EMPLID4231932;40;Permanent;34;Male;Married;MsC;Other;Travel_Frequently;22;Local Branch;2;Financial Advisor;68964;Yes;Yes;1;15;Contributor A;7;1;16;3;3;15;2;6;11; ;4827;3;2;2;3;55;16;0;1;1;1;5;3;2;1;2;1;3;1
EMPLID4231933;40;Permanent;28;Female;Single;Associate's degree;Marketing & Sales;Travel_Rarely;13;Local Branch;2;Branch Representative;118248;Yes;Yes;3;11;Contributor A;7;3;12;0;3;8;7;2;2; ;4730;4;4;3;1;0;64;1;1;1;1;1;1;3;3;1;1;3;3
EMPLID4231934;40;Permanent;47;Male;Married;MsC;IT & Operations;Non-Travel;14;Local Branch;2;Financial Advisor;65604;Yes;No;1;18;Contributor B;6;8;26;4;4;18;17;1;7; ;2624;3;3;3;2;36;16;0;0;1;3;5;2;4;1;2;1;3;1
EMPLID4231935;40;Permanent;56;Female;Married;PhD;Marketing & Sales;Travel_Rarely;11;Local Branch;2;Branch Representative;64560;Yes;No;3;16;Contributor B;2;4;15;3;3;9;8;0;0; ;5165;4;3;2;1;23;7;0;0;1;3;1;1;3;1;1;1;3;5
EMPLID4231936;40;Permanent;39;Male;Married;Associate's degree;Business Administration;Travel_Rarely;9;Head office;2;Marketeer;61812;Yes;No;4;25;Contributor B;9;1;12;3;3;12;11;7;9; ;4945;1;4;3;3;60;4;0;0;1;3;3;1;5;1;2;1;2;3
EMPLID4231937;40;Permanent;38;Female;Divorced;BsC;Business Administration;Travel_Frequently;8;Local Branch;2;Financial Advisor;25596;Yes;Yes;2;16;Contributor B;5;1;20;3;3;20;15;0;7; ;2048;4;3;2;3;70;21;0;1;1;3;5;3;5;2;1;1;3;2
EMPLID4231938;40;Permanent;58;Female;Married;BsC;Finance & Economics;Travel_Rarely;21;Management;4;Team Manager;214500;Yes;Yes;1;13;Contributor B;6;4;34;2;2;6;5;0;0; ;27885;4;3;3;3;63;33;0;1;1;3;8;1;1;1;1;1;1;2
EMPLID4231939;40;Permanent;32;Female;Single;Associate's degree;Finance & Economics;Travel_Frequently;5;Local Branch;1;Financial Advisor;29184;Yes;Yes;1;14;Contributor A;4;3;12;2;3;8;7;0;3; ;876;1;1;4;1;5;56;1;1;1;1;5;3;1;3;1;1;3;3
EMPLID4231940;40;Permanent;38;Male;Divorced;Associate's degree;Finance & Economics;Travel_Rarely;9;Local Branch;1;Financial Advisor;57252;Yes;No;2;19;Rising Star;5;2;13;0;4;8;7;0;3; ;0;2;4;3;3;52;35;0;0;1;4;5;1;1;2;2;1;3;3
EMPLID4231941;40;Permanent;49;Male;Married;High school diploma;Finance & Economics;Travel_Frequently;2;Management;5;Branch Manager;229932;Yes;No;3;15;Contributor A;6;3;35;3;3;12;11;4;3; ;43687;2;4;3;3;56;46;0;0;1;1;7;3;1;1;2;1;1;4
EMPLID4231943;40;Permanent;42;Male;Divorced;MsC;Marketing & Sales;Travel_Rarely;12;Local Branch;2;Branch Representative;61044;Yes;Yes;3;12;Rising Star;4;3;16;4;3;2;1;0;0; ;2442;2;3;3;4;88;46;0;1;1;4;1;1;3;2;2;1;3;1
EMPLID4231944;40;Permanent;27;Female;Married;BsC;Human Resources;Travel_Frequently;22;Head office;1;Human Resources;34356;Yes;No;3;12;Contributor A;6;1;18;2;3;18;17;0;0; ;687;1;1;2;1;14;76;1;0;1;1;9;3;9;1;1;1;2;2
EMPLID4231945;40;Permanent;35;Male;Married;MsC;Business Administration;Travel_Rarely;18;Local Branch;2;Branch Representative;66732;Yes;No;2;16;Contributor B;5;0;9;2;1;8;7;0;4; ;3337;2;4;3;2;25;36;0;0;1;3;1;1;5;1;2;1;3;1
EMPLID4231947;40;Permanent;28;Male;Single;BsC;Business Administration;Non-Travel;16;Local Branch;1;Financial Advisor;25728;Yes;No;3;14;Contributor A;4;1;5;3;2;5;1;1;4; ;257;3;3;3;3;70;47;0;0;1;1;5;2;5;3;2;1;3;2
EMPLID4231948;40;Permanent;31;Male;Divorced;Associate's degree;Business Administration;Non-Travel;3;Local Branch;1;Financial Advisor;36780;Yes;Yes;3;13;Contributor B;5;1;17;3;4;17;16;2;3; ;368;3;4;3;4;89;20;0;1;1;3;5;2;5;2;2;1;3;3
EMPLID4231949;40;Permanent;36;Male;Married;MsC;Finance & Economics;Non-Travel;9;Local Branch;1;Call center agent;33720;Yes;No;4;22;Contributor A;5;1;7;3;3;7;6;0;2; ;1012;1;2;4;4;79;7;0;0;1;1;2;2;1;1;2;1;3;1
EMPLID4231950;40;Permanent;34;Male;Single;BsC;Marketing & Sales;Travel_Rarely;1;Local Branch;3;Branch Representative;118656;Yes;No;4;21;Contributor A;3;1;14;3;2;14;2;2;1; ;11866;1;1;3;4;88;37;0;0;1;1;1;1;3;3;2;1;3;2
EMPLID4231951;40;Permanent;34;Male;Divorced;MsC;Business Administration;Travel_Rarely;13;Local Branch;3;Branch Representative;103536;Yes;No;1;18;Contributor B;4;1;9;2;2;8;4;1;1; ;11389;4;3;3;3;67;50;0;0;1;3;1;1;5;2;2;1;3;1
EMPLID4231952;40;Permanent;26;Male;Single;BsC;Business Administration;Travel_Rarely;1;Local Branch;1;Call center agent;34404;Yes;No;2;13;Contributor A;6;0;8;6;2;7;3;7;6; ;688;3;4;3;4;79;28;0;0;1;1;2;1;5;3;2;1;3;2
EMPLID4231954;40;Permanent;29;Male;Married;BsC;IT & Operations;Travel_Rarely;1;Head office;2;IT developer;64476;Yes;No;3;12;Contributor B;10;0;19;5;2;18;17;0;2; ;5158;1;1;3;3;71;0;0;0;1;3;4;1;4;1;2;1;2;2
EMPLID4231955;40;Permanent;32;Female;Divorced;MsC;IT & Operations;Non-Travel;15;Head office;2;IT developer;80004;Yes;No;1;18;Contributor B;7;5;9;6;3;5;5;1;2; ;5600;3;2;3;3;75;28;0;0;1;3;4;2;4;2;1;1;2;1
EMPLID4231956;40;Permanent;31;Male;Married;BsC;Finance & Economics;Travel_Frequently;1;Local Branch;2;Financial Advisor;60036;Yes;No;4;21;Contributor A;7;1;12;6;3;12;11;8;7; ;5403;4;2;1;1;10;19;0;0;1;1;5;3;1;1;2;1;3;2
EMPLID4231960;40;Permanent;28;Male;Divorced;BsC;IT & Operations;Travel_Rarely;17;Local Branch;1;Call center agent;28404;Yes;No;2;12;Contributor B;6;5;12;2;2;10;9;0;3; ;284;3;1;2;2;32;78;1;0;1;3;2;1;4;2;2;1;3;2
EMPLID4231961;40;Permanent;38;Male;Single;BsC;Finance & Economics;Travel_Rarely;1;Head office;1;Office Support function;34296;Yes;No;1;14;Contributor A;8;4;36;3;2;17;16;0;0; ;343;1;1;2;3;75;24;0;0;1;1;6;1;1;3;2;1;2;2
EMPLID4231962;40;Permanent;35;Female;Married;MsC;Finance & Economics;Travel_Rarely;7;Local Branch;2;Branch Representative;62448;Yes;Yes;3;11;Contributor A;9;1;10;2;3;10;7;0;9; ;3747;3;4;3;3;68;50;0;1;1;1;1;1;1;1;1;1;3;1
EMPLID4231965;40;Permanent;27;Male;Single;BsC;Marketing & Sales;Travel_Rarely;9;Local Branch;2;Branch Representative;49260;Yes;No;2;14;Contributor A;6;1;13;5;3;13;12;0;7; ;2956;4;1;3;3;66;50;0;0;1;1;1;1;3;3;2;1;3;2
EMPLID4231966;40;Permanent;32;Male;Single;MsC;Finance & Economics;Travel_Rarely;5;Head office;2;Marketeer;116148;Yes;No;4;24;Contributor A;6;8;16;1;3;9;8;0;0; ;4646;4;2;2;3;72;47;0;0;1;1;3;1;1;3;2;1;2;1
EMPLID4231967;40;Permanent;31;Male;Married;MsC;Marketing & Sales;Travel_Frequently;26;Local Branch;2;Branch Representative;67404;Yes;Yes;3;11;Contributor A;6;1;18;4;3;18;17;0;8; ;6066;1;3;3;1;17;50;1;1;1;1;1;3;3;1;2;1;3;1
EMPLID4231968;40;Permanent;53;Male;Single;MsC;Finance & Economics;Travel_Rarely;24;Local Branch;3;Branch Representative;125376;Yes;Yes;3;13;Contributor A;9;6;22;2;2;9;8;2;2; ;10030;1;2;3;1;16;81;1;1;1;1;1;1;1;3;2;1;3;1
EMPLID4231969;40;Permanent;54;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;9;Local Branch;2;Financial Advisor;34764;Yes;No;2;11;Rising Star;5;3;9;6;2;4;4;2;3; ;1391;1;3;3;3;53;12;0;0;1;4;5;1;1;1;1;1;3;3
EMPLID4231970;40;Permanent;33;Male;Divorced;Associate's degree;IT & Operations;Travel_Frequently;7;Head office;2;IT developer;71616;Yes;No;4;20;Key Talent;11;1;9;2;3;9;1;2;8; ;5013;4;3;3;4;84;11;0;0;1;2;4;3;4;2;2;1;2;3
EMPLID4231971;40;Permanent;43;Male;Married;BsC;IT & Operations;Travel_Rarely;11;Head office;3;IT developer;90120;Yes;No;2;17;Contributor B;8;1;10;1;3;10;10;0;9; ;9913;1;2;3;3;61;31;0;0;1;3;4;1;4;1;2;1;2;2
EMPLID4231972;40;Permanent;38;Male;Married;MsC;Other;Travel_Frequently;1;Head office;1;Human Resources;35892;Yes;Yes;3;11;Contributor B;8;0;13;2;3;12;11;1;2; ;1436;4;2;3;4;89;1;0;1;1;3;9;3;2;1;2;1;2;1
EMPLID4231973;40;Permanent;55;Male;Married;MsC;Human Resources;Travel_Rarely;26;Management;5;Team Manager;235632;Yes;Yes;2;18;Contributor B;5;4;40;0;3;15;14;1;4; ;35345;3;1;4;4;98;0;0;1;1;3;8;1;9;1;2;1;1;1
EMPLID4231974;40;Permanent;31;Female;Divorced;High school diploma;Business Administration;Travel_Rarely;2;Local Branch;1;Call center agent;13548;Yes;Yes;1;11;Key Talent;7;1;9;4;3;9;8;0;0; ;542;4;3;1;3;62;49;0;1;1;2;2;1;5;2;1;1;3;4
EMPLID4231975;40;Permanent;39;Male;Single;MsC;Marketing & Sales;Travel_Rarely;15;Local Branch;4;Branch Representative;160092;Yes;No;3;12;Contributor A;8;0;21;3;3;20;4;11;10; ;20812;2;1;3;3;69;27;0;0;1;1;1;1;3;3;2;1;3;1
EMPLID4231976;40;Permanent;42;Male;Single;Associate's degree;Finance & Economics;Non-Travel;23;Local Branch;2;Financial Advisor;51984;Yes;No;3;12;Contributor A;9;1;20;2;3;20;1;3;7; ;4159;4;4;2;4;81;6;0;0;1;1;5;2;1;3;2;1;3;3
EMPLID4231979;40;Permanent;31;Female;Married;BsC;Business Administration;Non-Travel;10;Management;3;Branch Manager;132372;Yes;No;4;20;Contributor B;2;4;13;2;4;11;8;4;8; ;14561;3;3;3;1;23;18;0;0;1;3;7;2;5;1;1;1;1;2
EMPLID4231980;40;Permanent;54;Female;Single;BsC;Business Administration;Travel_Rarely;10;Head office;2;Marketeer;53280;Yes;Yes;3;19;Contributor A;8;6;9;3;3;5;1;1;4; ;4262;3;4;3;3;51;34;0;1;1;1;3;1;5;3;1;1;2;2
EMPLID4231981;40;Permanent;24;Male;Single;Associate's degree;IT & Operations;Travel_Rarely;1;Head office;2;IT developer;55404;Yes;No;2;12;Contributor A;9;1;4;2;2;4;3;1;2; ;3324;2;2;2;4;95;28;0;0;1;1;4;1;4;3;2;1;2;3
EMPLID4231982;40;Permanent;23;Male;Single;Associate's degree;Other;Travel_Rarely;12;Local Branch;1;Call center agent;31764;Yes;No;2;13;Contributor A;1;1;5;6;4;5;5;1;4; ;318;4;3;3;4;93;38;0;0;1;1;2;1;2;3;2;1;3;3
EMPLID4231985;40;Permanent;40;Female;Married;BsC;IT & Operations;Travel_Frequently;11;Local Branch;2;Call center agent;75876;Yes;No;2;11;Contributor B;7;1;12;2;4;12;11;9;4; ;5311;4;1;3;4;90;2;0;0;1;3;2;3;4;1;1;1;3;2
EMPLID4231986;40;Permanent;40;Female;Married;Associate's degree;Marketing & Sales;Travel_Rarely;2;Local Branch;2;Branch Representative;68124;Yes;No;1;14;Contributor B;6;3;15;4;3;11;3;5;10; ;5450;2;3;3;4;94;8;0;0;1;3;1;1;3;1;1;1;3;3
EMPLID4231987;40;Permanent;25;Female;Married;BsC;Human Resources;Travel_Rarely;2;Head office;1;Human Resources;26244;Yes;No;3;14;Contributor A;5;4;8;3;3;4;3;1;2; ;525;3;3;3;3;57;37;0;0;1;1;9;1;9;1;1;1;2;2
EMPLID4231989;40;Permanent;30;Male;Married;Associate's degree;Business Administration;Travel_Rarely;1;Local Branch;1;Call center agent;44976;Yes;No;3;13;Contributor A;6;1;12;6;2;12;7;1;7; ;0;4;3;3;4;96;18;0;0;1;1;2;1;5;1;2;1;3;3
EMPLID4231992;40;Permanent;25;Male;Divorced;High school diploma;Other;Travel_Rarely;2;Local Branch;1;Call center agent;47724;Yes;Yes;2;19;Contributor B;8;6;18;2;2;13;12;0;2; ;477;4;3;3;4;91;40;0;1;1;3;2;1;2;2;2;1;3;4
EMPLID4231993;40;Permanent;47;Male;Single;BsC;IT & Operations;Travel_Rarely;25;Head office;3;IT developer;103596;Yes;No;4;23;Contributor A;7;2;25;3;3;17;14;12;11; ;8288;1;2;3;4;76;36;0;0;1;1;4;1;4;3;2;1;2;2
